vannmiljo_code,month,new,his_min,his_median,his_max
018-32157,4,1.0,4.0,4.0,5.0
020-79149,4,1.0,3.0,3.5,4.0
020-97010,4,1.0,3.0,3.0,3.0
020-97010,5,1.0,4.0,4.0,4.0
020-97010,6,1.0,2.0,2.0,2.0
021-45780,4,1.0,2.0,2.0,2.0
022-32018,5,2.0,4.0,4.0,5.0
022-32019,5,2.0,4.0,4.0,6.0
022-32020,5,2.0,4.0,4.0,5.0
022-58904,4,1.0,2.0,4.0,5.0
022-58904,6,1.0,2.0,2.0,4.0
022-97011,6,2.0,3.0,3.0,3.0
027-58830,4,3.0,4.0,4.0,5.0
036-58863,4,1.0,4.0,4.0,5.0
036-58863,5,1.0,3.0,4.0,6.0
036-58863,6,1.0,2.0,2.0,3.0
038-44506,4,3.0,4.0,4.0,5.0
038-58747,4,3.0,4.0,4.0,5.0
038-58779,4,3.0,4.0,4.0,5.0
038-58853,4,3.0,4.0,4.0,5.0
038-58854,4,2.0,4.0,4.5,5.0
038-58866,4,3.0,4.0,4.0,5.0
038-58867,4,3.0,4.0,4.0,5.0
038-88032,4,3.0,4.0,4.5,5.0
